TIMESTAMPms	M1RAWIMUxgyro	M1RAWIMUygyro	M1RAWIMUzgyro
6720	1.050000000000000e+2	4.600000000000000e+1	2.410000000000000e+2
6960	-1.000000000000000e+1	-6.500000000000000e+1	5.800000000000000e+2
7200	-7.600000000000000e+1	-5.000000000000000e+0	8.590000000000000e+2
7440	-4.900000000000000e+1	3.000000000000000e+1	9.520000000000000e+2
7680	5.000000000000000e+0	-3.000000000000000e+0	4.580000000000000e+2
7920	1.310000000000000e+2	8.100000000000000e+1	2.330000000000000e+2
8160	1.200000000000000e+1	2.600000000000000e+1	9.800000000000000e+1
8400	-8.400000000000000e+1	-1.120000000000000e+2	9.200000000000000e+1
8640	-9.000000000000000e+0	-1.360000000000000e+2	9.300000000000000e+1
8879	-5.000000000000000e+0	-4.900000000000000e+1	8.900000000000000e+1
9120	-9.000000000000000e+0	1.100000000000000e+1	5.400000000000000e+1
9360	6.000000000000000e+0	3.800000000000000e+1	3.900000000000000e+1
9600	4.000000000000000e+0	2.500000000000000e+1	3.300000000000000e+1
9839	4.000000000000000e+0	-4.000000000000000e+0	1.400000000000000e+1
10079	-1.000000000000000e+1	-6.000000000000000e+0	3.000000000000000e+0
10320	-2.000000000000000e+0	6.000000000000000e+0	-1.300000000000000e+1
10560	6.000000000000000e+0	1.700000000000000e+1	-1.800000000000000e+1
10800	-2.000000000000000e+0	-1.000000000000000e+1	-8.000000000000000e+0
11040	-8.000000000000000e+0	-4.000000000000000e+0	-2.000000000000000e+1
11280	1.000000000000000e+0	2.000000000000000e+0	-3.200000000000000e+1
11520	7.000000000000000e+0	1.200000000000000e+1	-3.200000000000000e+1
11760	6.000000000000000e+0	-1.200000000000000e+1	-4.900000000000000e+1
12000	-2.200000000000000e+1	7.000000000000000e+0	-4.500000000000000e+1
12240	-2.000000000000000e+0	1.400000000000000e+1	-4.800000000000000e+1
12479	1.300000000000000e+1	-4.000000000000000e+0	-4.900000000000000e+1
12720	5.000000000000000e+0	1.700000000000000e+1	-6.200000000000000e+1
12960	-1.600000000000000e+1	-7.000000000000000e+0	-5.000000000000000e+1
13200	-5.300000000000000e+1	-1.500000000000000e+1	-5.600000000000000e+1
13440	1.000000000000000e+0	5.900000000000000e+1	-3.400000000000000e+2
13680	-7.000000000000000e+0	8.200000000000000e+1	-6.520000000000000e+2
13920	-2.000000000000000e+0	6.200000000000000e+1	-7.230000000000000e+2
14160	7.200000000000000e+1	3.200000000000000e+1	-7.290000000000000e+2
14400	5.100000000000000e+1	1.800000000000000e+1	-3.450000000000000e+2
14640	-1.400000000000000e+1	-3.000000000000000e+0	-1.400000000000000e+2
14880	-7.000000000000000e+0	2.900000000000000e+1	-2.700000000000000e+1
15120	1.800000000000000e+1	9.200000000000000e+1	3.800000000000000e+1
15360	1.000000000000000e+0	-5.700000000000000e+1	9.500000000000000e+1
15600	1.000000000000000e+1	-3.400000000000000e+1	-5.000000000000000e+2
15840	-3.700000000000000e+1	6.000000000000000e+1	-8.200000000000000e+2
16080	-5.500000000000000e+1	-7.000000000000000e+1	-3.920000000000000e+2
